timestamp,message
1670597722808,"START RequestId: 4dcad57d-aa20-40a8-ae59-95e1380246a6 Version: $LATEST
"
1670597722984,"2022-12-09T14:55:22.984Z	4dcad57d-aa20-40a8-ae59-95e1380246a6	INFO	request :::{""requestParams"":{""batchUnit"":""1000"",""batchSize"":""1"",""batchId"":""1""}}
"
1670597722984,"2022-12-09T14:55:22.984Z	4dcad57d-aa20-40a8-ae59-95e1380246a6	INFO	1000:::1:::1
"
1670597724012,"2022-12-09T14:55:24.012Z	4dcad57d-aa20-40a8-ae59-95e1380246a6	INFO	resp :::{""statusCode"":200,""body"":{""reduced"":[{""_id"":""55"",""reduced"":16,""total"":4196550719},{""_id"":""27"",""reduced"":11,""total"":1770272989},{""_id"":""38"",""reduced"":16,""total"":3425697772},{""_id"":""53"",""reduced"":23,""total"":6541434580},{""_id"":""46"",""reduced"":35,""total"":8783607727},{""_id"":""45"",""reduced"":36,""total"":8557337679},{""_id"":""39"",""reduced"":27,""total"":5616021585},{""_id"":""59"",""reduced"":26,""total"":7267608959},{""_id"":""36"",""reduced"":21,""total"":4161774980},{""_id"":""63"",""reduced"":17,""total"":4860824055},{""_id"":""48"",""reduced"":34,""total"":8701044334},{""_id"":""60"",""reduced"":26,""total"":7387242777},{""_id"":""47"",""reduced"":28,""total"":6960552642},{""_id"":""70"",""reduced"":4,""total"":1551482804},{""_id"":""40"",""reduced"":24,""total"":5002192622},{""_id"":""35"",""reduced"":33,""total"":6016721106},{""_id"":""54"",""reduced"":29,""total"":7998012912},{""_id"":""76"",""reduced"":2,""total"":819541647},{""_id"":""72"",""reduced"":3,""total"":935485086},{""_id"":""28"",""reduced"":11,""total"":1785201695},{""_id"":""75"",""reduced"":3,""total"":1184842329},{""_id"":""34"",""reduced"":27,""total"":4941096429},{""_id"":""25"",""reduced"":9,""total"":1101266601},{""_id"":""52"",""reduced"":32,""total"":8682623083},{""_id"":""29"",""reduced"":21,""total"":3727715345},{""_id"":""69"",""reduced"":8,""total"":2715694709},{""_id"":""30"",""reduced"":24,""total"":3837200450},{""_id"":""64"",""reduced"":14,""total"":4342199722},{""_id"":""44"",""reduced"":29,""total"":6535578430},{""_id"":""74"",""reduced"":2,""total"":672243370},{""_id"":""73"",""reduced"":6,""total"":2294604626},{""_id"":""31"",""reduced"":21,""total"":3538749003},{""_id"":""66"",""reduced"":7,""total"":2772469944},{""_id"":""65"",""reduced"":11,""total"":3849416988},{""_id"":""78"",""reduced"":1,""total"":477070936},{""_id"":""51"",""reduced"":29,""total"":7448560706},{""_id"":""33"",""reduced"":25,""total"":3973375863},{""_id"":""62"",""reduced"":15,""total"":4728920605},{""_id"":""68"",""reduced"":5,""total"":1518136654},{""_id"":""32"",""reduced"":17,""total"":2835561731},{""_id"":""26"",""reduced"":6,""total"":875342083},{""_id"":""56"",""reduced"":21,""total"":5843948183},{""_id"":""37"",""reduced"":34,""total"":6569399661},{""_id"":""41"",""reduced"":29,""total"":6294210876},{""_id"":""42"",""reduced"":27,""total"":5675422702},{""_id"":""71"",""reduced"":3,""total"":1104966823},{""_id"":""43"",""reduced"":25,""total"":5844413895},{""_id"":""67"",""reduced"":10,""total"":4051039849},{""_id"":""79"",""reduced"":1,""total"":487599695},{""_id"":""49"",""reduced"":25,""total"":5771892344},{""_id"":""50"",""reduced"":23,""total"":6445491514},{""_id"":""58"",""reduced"":15,""total"":4707018507},{""_id"":""61"",""reduced"":14,""total"":4108965290},{""_id"":""57"",""reduced"":28,""total"":7189105892},{""_id"":""24"",""reduced"":11,""total"":1572877059}],""mapped"":""55""}}
"
1670597724012,"2022-12-09T14:55:24.012Z	4dcad57d-aa20-40a8-ae59-95e1380246a6	INFO	response :::{""statusCode"":200,""body"":[{""maxReduced"":""36"",""mapped"":""55""}]}
"
1670597724014,"END RequestId: 4dcad57d-aa20-40a8-ae59-95e1380246a6
"
1670597724014,"REPORT RequestId: 4dcad57d-aa20-40a8-ae59-95e1380246a6	Duration: 1206.24 ms	Billed Duration: 1207 ms	Memory Size: 1024 MB	Max Memory Used: 107 MB	Init Duration: 367.44 ms	
"
